Source,Target,weight
Tambrapeta,Kresna,2.0
Kamajaya,Narada,3.0
Bilung,Gatotkaca,3.0
Banowati,Werkudara,13.0
Kartamarma,Ranu,1.0
Baladewa,Nagaprasanta,1.0
Semar,Nakula,16.0
Guru,Abiyasa,2.0
Wisanggeni,Lion,1.0
Bagaspati,Destarastra,1.0
Pragota,Baladewa,1.0
Semar,Kunti,5.0
Wibisana,Kumbakarna,2.0
YudaKalaKresna,Rukmini,1.0
Karna,Sengkalawati,1.0
Asmarawati,Nakula,2.0
Jembawati,Indra,1.0
Karna,Sri,2.0
Gareng,Bayu,1.0
Bratajaya,Baladewa,2.0
Dhandhonwacana,Wilawuk,1.0
Pulunggana,Nakula,1.0
Durna,Antaboga,2.0
Rukmini,Wisnu,1.0
Guru,Panyarikan,4.0
Ugrasena,Petruk,3.0
FakeWerkudara,Werkudara,3.0
Bhisma,Nakula,1.0
Dewasrani,Bagong,2.0
Sekipu,Kresna,2.0
Duryudana,Antareja,5.0
Suparta,Bendana,1.0
DewaRuci,Kresna,1.0
Banowati,Hagni,1.0
Bomanarakasura,Puntadewa,1.0
Semar,Duryudana,13.0
Setyaboma,Brahma,1.0
Maruta,Arjuna,2.0
Brajadhenta,Brajamusthi,3.0
Bagong,Nagaprasanta,1.0
Mahadewa,Brahma,2.0
Sangkara,Maheswara,2.0
Pandu,JayaBajra,1.0
Guru,Kanastren,2.0
Rukmini,Werkudara,5.0
Bisawarna,Gareng,1.0
NemburNawa,Sadewa,1.0
Guru,Resi,2.0
Kuntiboja,Madrim,1.0
Sangkara,Narada,2.0
Drupadi,Sri,1.0
Semar,Kuntiboja,1.0
Dhandhonwacana,Bhisma,1.0
YudaKothi,Pragota,1.0
Durna,Mangsahpati,2.0
Ugrasena,Bratajaya,1.0
Abiyasa,Semar,8.0
Gatotkaca,Narada,10.0
Nakula,Narada,8.0
Kanastren,Antaboga,1.0
Saragupita,Arjuna,1.0
Bisawarna,Duryudana,2.0
Bagong,Erawati,1.0
Sengkalawati,Arjuna,1.0
Guru,Werkudara,14.0
Karna,Yudhistira,1.0
Surtikanthi,Bismaka,1.0
Maheswara,Indra,1.0
Durna,TunggulWulung,1.0
Guru,Sengkalawati,1.0
Rukmini,Abiyasa,1.0
Surya,Pracona,1.0
Guru,Wisanggeni,8.0
Antakawulan,Bagong,2.0
Guru,Setyaboma,2.0
YudaKothi,Kartapiyoga,1.0
Gareng,Surabramadiraja,1.0
Gareng,Padmanaba,1.0
Bratajaya,Indra,1.0
Samba,Bagong,5.0
Semar,Antasena,1.0
Bendana,Nakula,4.0
Kangsa,Kresna,1.0
Banowati,Abimanyu,7.0
Bilung,Mangsahpati,1.0
Citrarata,Kartamarma,2.0
Guru,Pulunggana,2.0
Angganjali,Durga,1.0
Wisnu,Sambuh,2.0
Karna,Panyarikan,1.0
SitiSendari,Semar,2.0
Asmarawati,Kartamarma,1.0
Semar,Puntadewa,17.0
Guru,Sekipu,3.0
Antaboga,Narada,4.0
Arjuna,Dersanala,3.0
Bagus,Dersanala,2.0
Gareng,Yamadipati,1.0
Bomanarakasura,Anoman,4.0
SuratiMantra,Saragupita,1.0
Udawa,Panyarikan,1.0
Puntadewa,Resi,1.0
Semar,Kanastren,5.0
Druwasa,Gendara,1.0
Jembawati,Nakula,1.0
Sengkuni,Arjuna,16.0
Mangsahpati,Sadewa,2.0
NemburNawa,Werkudara,2.0
Werkudara,Sambuh,1.0
Werkudara,Godhayitma,3.0
Antakawulan,Durna,1.0
Gareng,Garuda,1.0
Arjuna,WulanDremi,2.0
Gatotkaca,Kartamarma,6.0
Mangsahpati,Duryudana,2.0
Bilung,Antareja,1.0
Arjuna,WulanDrema,2.0
Indra,Rudra,1.0
Guru,Wisnu,2.0
Durna,KudaKalaKresna,1.0
Pancawala,Werkudara,1.0
Petruk,Wenang,3.0
SitiSendari,Anoman,1.0
Udawa,Petruk,2.0
Gareng,Surya,1.0
Samba,Kamajaya,1.0
Samba,Setyaboma,2.0
Duryudana,Durga,3.0
Pracona,Ramayadi,2.0
Maerah,Badrahini,4.0
Maerah,Salya,1.0
Guru,Badrahini,1.0
Sengkalawati,Sengkuni,1.0
Sengkuni,Bantala,1.0
Banowati,Kresna,11.0
Salya,Yamawidura,1.0
Guru,Kartapiyoga,1.0
Bomanarakasura,Setyaki,2.0
SuratiMantra,Basudewa,2.0
Pancawala,Kunti,1.0
Rukmini,Baladewa,1.0
Garuda,Dhamdharat,2.0
Mahadewa,Yudhistira,1.0
Petruk,Durga,3.0
Mandrakeswara,Sengkuni,1.0
Maheswara,Sambuh,2.0
Bismaka,Sengkuni,1.0
Surtikanthi,Guru,1.0
Kumbakarna,Duryudana,1.0
