Source,Target,weight
Ramaparasu,Arjuna,2.0
Baladewa,Nakula,7.0
Gareng,Salya,4.0
Bagong,Dersanala,1.0
Guru,Surya,1.0
GagakBaka,Wenang,1.0
Saragupita,Rohini,1.0
Kresna,SuksmaLanggeng,2.0
Sadewa,Ramayadi,1.0
Bismaka,Maerah,4.0
Baladewa,Dhadhungawuk,1.0
Guru,Maerah,1.0
Setyaki,Bagus,1.0
Samba,Resi,1.0
Wisnu,Anoman,3.0
Bagaspati,Petruk,2.0
Pradapa,Citrasena,2.0
Semar,LesmanaMurdaka,2.0
KencanaWulan,Semar,1.0
Gatotkaca,Wisnu,3.0
Sadewa,Arjuna,31.0
Bisawarna,Garuda,1.0
Dewasrani,Resi,2.0
Udawa,Padmanaba,2.0
Semar,Bagus,1.0
Semar,Brahma,3.0
Antaboga,Gatotkaca,4.0
Werkudara,Tambrapeta,2.0
Durna,RaraIreng,2.0
Karna,Abimanyu,6.0
Werkudara,Dhamdharat,3.0
Setyaboma,Kresna,3.0
Gareng,Udawa,2.0
Samba,Antaboga,1.0
Bagong,Duryudana,10.0
WulanDremi,Nakula,1.0
Rukmara,Petruk,1.0
Sambuh,Ramayadi,1.0
Badrahini,Narada,1.0
Sangkara,Karna,1.0
Puntadewa,Rukmara,2.0
Narada,Prasara,1.0
Baladewa,Duryudana,7.0
Semar,Ramaparasu,2.0
Ratmuka,Kresna,2.0
Wisnu,Werkudara,4.0
Bagong,Sri,1.0
Panyarikan,Angganjali,1.0
Gareng,Pujawati,1.0
Guru,Bagong,8.0
Kanastren,Satrugna,1.0
Karna,Sambuh,1.0
Durna,Hagni,1.0
Guru,Narada,23.0
Ugrasena,Bagaspati,1.0
Duryudana,Lion,1.0
Banowati,Lion,1.0
Antaboga,Puntadewa,2.0
Surtikanthi,Arjuna,2.0
Wisnu,SuksmaLanggeng,3.0
Arimbi,Abiyasa,2.0
Werkudara,Prasara,1.0
Maruta,Anoman,1.0
Kunti,NgembatLandeyan,1.0
RaraIreng,Baladewa,2.0
Guru,Wenang,2.0
Banowati,Bayu,1.0
Semar,Antaboga,3.0
Gatotkaca,Nagagini,1.0
Gareng,KudaKalaKresna,1.0
Petruk,SitiSendari,1.0
Panyarikan,Anoman,1.0
Puntadewa,Baladewa,7.0
LesmanaMandrakumara,Gareng,1.0
Gatotkaca,Kresna,29.0
Arjuna,Maheswara,1.0
Drupadi,Sadana,1.0
Bagaspati,Pandu,1.0
Arimbi,Indra,1.0
Angganjali,Arimbi,2.0
Puntadewa,Yudhistira,2.0
Semar,Wilawuk,2.0
Puntadewa,Rama,2.0
Gareng,Dhadhungawuk,1.0
Nagatatmala,Petruk,1.0
Gatotkaca,Duryudana,10.0
Angganjali,Sadewa,1.0
Salya,Madrim,3.0
Arjuna,Surabramadiraja,1.0
Udawa,Narada,3.0
Banowati,Nagagini,2.0
Kartapiyoga,Salya,1.0
Citrarata,Nakula,2.0
Raksasa,Duryudana,1.0
Bagus,Narada,2.0
Nagaprasanta,Narada,1.0
Sugriwa,Anoman,2.0
Abiyasa,Narada,2.0
Sengkalawati,Kresna,1.0
Surya,Sekipu,1.0
Samba,Setyaki,12.0
Durna,Bagong,11.0
Sambuh,Indra,1.0
Rukmini,Kresna,6.0
Yamadipati,Indra,1.0
Citrarata,Durga,1.0
Semar,FakeWerkudara,1.0
Gareng,Arimbi,3.0
Mandrakeswara,Kuntiboja,1.0
Ugrasena,Narada,2.0
Semar,Bendana,3.0
Arjuna,RaraIreng,4.0
Ramaparasu,Kartamarma,1.0
Pradapa,Kartamarma,1.0
WulanDrema,Anoman,1.0
Durna,Lion,1.0
Maheswara,Yudhistira,1.0
Surabramadiraja,Antasena,2.0
Antareja,Nakula,6.0
YudaKothi,Baladewa,1.0
Brajadhenta,Bagong,1.0
Karna,Kalika,1.0
Baladewa,Kartamarma,1.0
Narada,Ranu,1.0
LesmanaMandrakumara,Bagong,1.0
Banowati,Durga,3.0
Semar,GagakBaka,1.0
Udawa,Sengkalawati,1.0
Udawa,Semar,3.0
Angganjali,Sambuh,1.0
Samba,Dersanala,1.0
Kartapiyoga,Arjuna,2.0
Karna,NgembatLandeyan,1.0
Kamajaya,Werkudara,2.0
Udawa,Werkudara,4.0
Bendana,Prasara,1.0
Wisnu,Godhayitma,1.0
SuratiMantra,Indra,1.0
Rukmara,Nakula,1.0
Puntadewa,Citrasena,1.0
Bayu,Sengkuni,2.0
Yamadipati,Abimanyu,2.0
Iswara,Pracona,1.0
SitiSendari,Duryudana,1.0
Indra,JayaBajra,1.0
Samba,Dewasrani,1.0
Barata,Gatotkaca,1.0
Sengkuni,Samba,3.0
Bagong,Sadana,1.0
Antaboga,Arjuna,2.0
Saragupita,Kresna,1.0
Sadana,Godhayitma,1.0
Gareng,Yamawidura,1.0
Antaboga,Setyaboma,1.0
Narada,Dersanala,2.0
Arjuna,Kresna,43.0
Mandrakeswara,Pujawati,1.0
Gareng,Surtikanthi,1.0
Bismaka,Abiyasa,2.0
Sengkuni,Narada,4.0
Samba,Anoman,8.0
Sekipu,Indra,2.0
Rukmini,Gatotkaca,2.0
Bagong,Sambuh,1.0
Gareng,Bhisma,1.0
Indra,DewaRuci,1.0
Nagagini,Abimanyu,1.0
Wisnu,Arjuna,3.0
Durga,Bendana,2.0
Ugrasena,Gendari,1.0
Suparta,Nakula,1.0
Mangsahpati,Garuda,1.0
Arimbi,Yudhistira,3.0
Ugrasena,Maerah,2.0
Ugrasena,Gendara,1.0
Bagong,Pulungsari,1.0
Kurandhayaksa,Arjuna,2.0
Abiyasa,Madrim,1.0
Bagong,Nagagini,1.0
Bismaka,NgembatLandeyan,1.0
Bomanarakasura,Abimanyu,4.0
Kalika,Kresna,2.0
Prasara,Kartamarma,1.0
Sri,Sadana,5.0
Bilung,Duryudana,2.0
Ugrasena,Kresna,1.0
Semar,Sri,4.0
Kamajaya,Setyaboma,1.0
Udawa,Baladewa,2.0
Karna,Pracona,1.0
Sadewa,KudaKalaKresna,1.0
Mahadewa,Arimbi,1.0
Suparta,Yudhistira,1.0
Tambrapeta,Citrasena,2.0
Gareng,Gorawangsa,1.0
Dhandhonwacana,Abiyasa,1.0
Sadewa,Hagni,1.0
Banowati,Kumbakarna,1.0
Udawa,Abiyasa,2.0
Werkudara,Brajamusthi,1.0
Rukmini,Sadewa,2.0
Karna,Kanastren,2.0
Arimbi,Arjuna,5.0
Dewasrani,Jembawati,1.0
Gatotkaca,Togog,4.0
Gatotkaca,Bendana,4.0
LesmanaMandrakumara,WulanDrema,2.0
FakeWerkudara,Anoman,3.0
Kumbakarna,Narada,1.0
Guru,Kunti,2.0
Guru,Citrarata,2.0
Surtikanthi,Petruk,1.0
Jembawati,Resi,1.0
Barata,Satrugna,2.0
Pancawala,Citrarata,1.0
Karna,Sadewa,9.0
Wibisana,Ranu,3.0
Sadewa,Semar,16.0
KencanaWulan,Kartamarma,1.0
Rukmini,Padmanaba,1.0
Rukmini,Indra,2.0
Udawa,Puntadewa,3.0
Bratajaya,Bismaka,1.0
Banowati,Tambrapeta,1.0
Antaboga,Indra,1.0
Gareng,Yudhistira,2.0
Banowati,Petruk,7.0
Kunti,Arimbi,2.0
Gareng,Rama,1.0
Karna,Kresna,12.0
Karna,Pradapa,1.0
Mahadewa,Rudra,2.0
Kartamarma,Parasara,1.0
Dhadhungawuk,Semar,1.0
Banowati,Nagatatmala,1.0
Bisawarna,Hagni,2.0
Nagatatmala,Anoman,1.0
Kunti,Duryudana,3.0
Barata,Rama,3.0
Kanastren,Petruk,3.0
Nakula,DewaRuci,1.0
Dewasrani,Pulunggana,2.0
Durna,Antasena,1.0
Mangsahpati,RaraIreng,1.0
Puntadewa,Abimanyu,13.0
Durna,Bayu,2.0
Asmarawati,Kresna,2.0
Bagong,Panyarikan,2.0
JayaBajra,Rohini,1.0
Iswara,Arjuna,1.0
Semar,Gatotkaca,26.0
Baladewa,Wisnu,2.0
Kalika,Puntadewa,2.0
Bagong,Surabramadiraja,1.0
Basudewa,Rohini,2.0
Semar,Petruk,35.0
Bisawarna,Semar,1.0
Durga,Wisnu,1.0
Jembawati,Anoman,1.0
Bagus,Kresna,2.0
Pujawati,Kunti,1.0
Bismaka,Erawati,1.0
Durna,Puntadewa,18.0
Barata,Sugriwa,2.0
Sekipu,Brahma,2.0
Iswara,Bendana,1.0
Kalika,Nakula,2.0
TunggulWulung,Duryudana,1.0
Bagong,LesmanaMurdaka,1.0
Citrarata,Wisanggeni,2.0
Udawa,Bismaka,1.0
Dewaki,Bismaka,2.0
YudaKothi,Saragupita,1.0
Antaboga,Sadana,2.0
Arjuna,Prasara,1.0
Puntadewa,Tambrapeta,1.0
SuratiMantra,RaraIreng,1.0
Surabramadiraja,Anoman,1.0
Antareja,Prasara,1.0
Banowati,Prasara,1.0
Bayu,Kunti,2.0
Arjuna,Kartamarma,9.0
LesmanaMurdaka,Abimanyu,1.0
Antakawulan,Satrugna,2.0
Ugrasena,Yamawidura,1.0
Pradapa,Kresna,2.0
Durga,Maheswara,1.0
YudaKalaKresna,Durna,1.0
Bismaka,Druwasa,1.0
Durga,Arjuna,5.0
Jembawati,Werkudara,2.0
Banowati,Arjuna,11.0
Gareng,Wisnu,3.0
Arimbi,Suparta,1.0
Pancawala,Kalika,1.0
Wisanggeni,Petruk,3.0
RaraIreng,Bantala,1.0
Bomanarakasura,Setyaboma,1.0
Setyaki,Wisnu,1.0
Arimbi,Bhisma,1.0
Antakawulan,Nakula,2.0
Sugriwa,Nakula,1.0
Setyaki,Brahma,1.0
Werkudara,Sadana,3.0
Samba,Sengkalawati,2.0
Werkudara,Gatotkaca,29.0
Dewasrani,Durna,1.0
Durna,WulanDremi,1.0
Guru,Kartamarma,3.0
Sangkara,Gatotkaca,1.0
Mangsahpati,Dhamdharat,2.0
Sangkara,Guru,1.0
Wisnu,Karna,2.0
Saragupita,Kangsa,1.0
Petruk,Dersanala,1.0
Sangkara,Bagong,1.0
Antakawulan,LesmanaMurdaka,2.0
Semar,Sambuh,1.0
Panyarikan,Puntadewa,1.0
Raksasa,Sengkuni,1.0
Karna,Gatotkaca,8.0
Gatotkaca,Puntadewa,16.0
Arjuna,LesmanaMurdaka,3.0
Arimbi,Petruk,2.0
Guru,Abimanyu,7.0
Karna,Sengkuni,26.0
SuratiMantra,Maerah,2.0
Maheswara,Bagong,1.0
Indra,Basudewa,3.0
Rukmini,Narada,3.0
Dewasrani,Arjuna,3.0
Brajamusthi,Togog,2.0
Durna,Bhisma,2.0
Werkudara,Togog,2.0
LesmanaMurdaka,Satrugna,1.0
Pragota,Bratajaya,1.0
Abiyasa,Durna,6.0
Kamajaya,Petruk,1.0
LesmanaMandrakumara,Sadewa,3.0
Mangsahpati,Dhandhang,2.0
Arjuna,Dhandhang,4.0
Karna,Narada,6.0
Gatotkaca,LesmanaMurdaka,2.0
Gareng,Kartapiyoga,1.0
Surtikanthi,Indra,1.0
Mahadewa,Pracona,1.0
Kanastren,Wenang,1.0
Sri,Nakula,2.0
Durna,Gatotkaca,10.0
Puntadewa,Wenang,4.0
Dhandhonwacana,Werkudara,2.0
Bendana,Sambuh,1.0
YudaKothi,Basudewa,1.0
Sengkuni,Hagni,1.0
Garuda,Werkudara,2.0
DewaRuci,NemburNawa,2.0
Dewasrani,Wenang,2.0
Durna,Ramaparasu,1.0
Baladewa,Basudewa,3.0
Bagong,Dhamdharat,1.0
Pancawala,Sengkuni,1.0
Soka,Puntadewa,1.0
Banowati,Antareja,3.0
Bagaspati,Kuntiboja,1.0
Guru,Durga,9.0
Durna,Wilawuk,1.0
Arimbi,Surabramadiraja,4.0
Puntadewa,Suparta,1.0
Sadewa,Sadana,2.0
Banowati,Kanastren,1.0
Durna,Anoman,13.0
Pulungsari,Kresna,1.0
Karna,Prasara,1.0
Antakawulan,Kresna,3.0
Durga,Bagus,2.0
Semar,Suparta,1.0
Arimbi,Duryudana,2.0
Bilung,Sadana,1.0
Sengkuni,DewaRuci,1.0
Puntadewa,Lion,1.0
Duryudana,Narada,5.0
Brahma,Dersanala,3.0
Bagong,Rukmara,1.0
Guru,Bismaka,2.0
Sugriwa,Abimanyu,1.0
Sengkuni,SuksmaLanggeng,2.0
Sengkuni,LesmanaMurdaka,1.0
Abiyasa,Kuntiboja,1.0
Kartamarma,Indra,3.0
Godhayitma,Abimanyu,4.0
Abiyasa,Pandu,2.0
Antareja,Yamadipati,1.0
TunggulWulung,Semar,1.0
Maruta,Puntadewa,1.0
Gatotkaca,Maheswara,1.0
Karna,Abiyasa,2.0
Maheswara,Rudra,2.0
Ugrasena,Indra,2.0
Petruk,Godhayitma,2.0
Wibisana,Sadewa,1.0
Pulunggana,Kartamarma,1.0
Arimbi,Werkudara,7.0
Kanastren,Gatotkaca,5.0
Petruk,Indra,6.0
KudaKalaKresna,Padmanaba,1.0
Padmanaba,Anoman,1.0
Mangsahpati,Arjuna,2.0
Jembawati,Kamajaya,1.0
Banowati,FakeWerkudara,1.0
Karna,Basudewa,2.0
Barata,Puntadewa,2.0
Banowati,Setyaki,2.0
Wisnu,Indra,1.0
RaraIreng,JayaBajra,1.0
Semar,Pulungsari,2.0
Kumbakarna,Kartamarma,1.0
Rukmini,Semar,3.0
Sengkuni,Drestarastra,2.0
Gatotkaca,Dhadhungawuk,2.0
FakeWerkudara,Antareja,1.0
Puntadewa,Bismaka,2.0
Gatotkaca,Brajamusthi,3.0
Baladewa,Badrahini,3.0
Badrahini,Kresna,2.0
Bendana,Puntadewa,3.0
WulanDrema,Indra,2.0
Banowati,Antaboga,1.0
Kanastren,Sri,2.0
Jembawati,Gatotkaca,2.0
Sadewa,Godhayitma,1.0
YudaKalaKresna,Abiyasa,1.0
Jembawati,Setyaki,2.0
Nakula,Antasena,1.0
Petruk,Anoman,12.0
Banowati,Semar,9.0
Sengkuni,Bisawarna,2.0
Wibisana,Bantala,3.0
Suparta,Abiyasa,1.0
Barata,Kresna,2.0
Panyarikan,Maheswara,1.0
Karna,Ramayadi,1.0
Garuda,Kumbakarna,1.0
Ugrasena,NgembatLandeyan,2.0
Durna,Barata,1.0
Sadewa,Yudhistira,4.0
Bismaka,Bagaspati,1.0
Arjuna,Drestarastra,1.0
Petruk,Basudewa,3.0
Dewaki,Surtikanthi,1.0
Dewasrani,Pulungsari,2.0
SuratiMantra,Dewaki,1.0
Bomanarakasura,Antareja,1.0
Samba,Gareng,5.0
Durna,Citrasena,2.0
YudaKalaKresna,Semar,1.0
Bagong,Semar,34.0
Karna,Werkudara,12.0
Rukmini,Rukmara,2.0
Samba,Semar,7.0
Werkudara,Pulungsari,1.0
Guru,Baladewa,6.0
Kunti,Tambrapeta,1.0
Guru,Sambuh,1.0
Antakawulan,Kartamarma,1.0
Werkudara,Resi,2.0
Sengkuni,Nakula,13.0
Gareng,Drupadi,1.0
Durna,Dhandhonwacana,1.0
Gareng,Puntadewa,11.0
Petruk,Yudhistira,1.0
Indra,NemburNawa,1.0
Puntadewa,Arimbi,4.0
Sengkuni,Bilung,3.0
Bhisma,Drestarastra,2.0
Badrahini,JayaBajra,1.0
Arimbi,GagakBaka,2.0
Kartamarma,DewaRuci,1.0
Asmarawati,Ratmuka,3.0
Kumbakarna,Ranu,2.0
Dhamdharat,Kartamarma,2.0
Iswara,Sekipu,1.0
Samba,SitiSendari,1.0
Semar,Basudewa,3.0
Werkudara,Sri,3.0
Sengkuni,Wilawuk,1.0
Surtikanthi,Badrahini,1.0
Gatotkaca,Samba,8.0
Kartapiyoga,Baladewa,2.0
Durna,Wenang,3.0
Duryudana,Godhayitma,1.0
Petruk,Sadana,2.0
Arimbi,Bendana,4.0
Asmarawati,RaraIreng,1.0
Gendari,Drestarastra,2.0
Wisnu,Abimanyu,2.0
Antareja,Pulungsari,1.0
Gareng,Madrim,3.0
Bendana,Maheswara,1.0
Karna,Bayu,1.0
Soka,Pradapa,3.0
Udawa,Nagagini,1.0
Gendara,Basudewa,1.0
Dewaki,Arjuna,1.0
Rukmara,KudaKalaKresna,1.0
Semar,Togog,3.0
Arjuna,Gendari,1.0
Salya,Gendari,1.0
Bismaka,Madrim,1.0
Semar,Godhayitma,2.0
Durna,Drestarastra,2.0
Arjuna,Nakula,31.0
Gareng,Anoman,10.0
Brajamusthi,Petruk,1.0
Lion,Kresna,1.0
Duryudana,Dhamdharat,3.0
Banowati,Anoman,8.0
Sangkara,Arjuna,1.0
Gendari,Yudhistira,1.0
Kunti,Pradapa,1.0
Bagong,Rudra,1.0
Karna,Maheswara,1.0
Bismaka,Padmanaba,1.0
Bagong,Udawa,2.0
SuratiMantra,Bagong,1.0
Rukmara,Anoman,1.0
Mandrakeswara,Petruk,2.0
Gareng,Setyaki,4.0
Durna,Wisanggeni,2.0
Dewaki,Kartapiyoga,1.0
Arjuna,Erawati,2.0
FakeWerkudara,Nagagini,1.0
Sadewa,Wisnu,1.0
Narada,Resi,2.0
Karna,Wenang,2.0
Gareng,Drestarastra,1.0
Surya,Ramayadi,1.0
Abiyasa,Bagong,8.0
Setyaki,Arjuna,4.0
Guru,Maheswara,1.0
Gareng,Destarastra,1.0
Bomanarakasura,Petruk,2.0
Sekipu,Pracona,2.0
TunggulWulung,Baladewa,1.0
Parasara,Kresna,1.0
Bagong,Ugrasena,3.0
LesmanaMandrakumara,Karna,7.0
Sadewa,Narada,8.0
Durna,Bantala,1.0
YudaKalaKresna,Gareng,1.0
Karna,Iswara,1.0
Sadewa,Bagus,1.0
Bisawarna,Werkudara,3.0
Panyarikan,Abiyasa,1.0
Werkudara,Sekipu,2.0
Wenang,Rama,2.0
Mahadewa,Werkudara,1.0
Indra,Kresna,9.0
Karna,Godhayitma,1.0
Antaboga,Abimanyu,4.0
Sengkuni,Ranu,1.0
Dhadhungawuk,Duryudana,1.0
Gareng,Gatotkaca,18.0
Samba,Indra,2.0
Nakula,Godhayitma,1.0
Semar,Narada,10.0
Dewasrani,Kresna,3.0
Bagong,Dhandhonwacana,1.0
Gareng,Maerah,2.0
Dhamdharat,Kresna,3.0
TunggulWulung,Anoman,2.0
Puntadewa,Kresna,32.0
Wibisana,Garuda,1.0
Bomanarakasura,Karna,1.0
Sengkuni,Dhadhungawuk,1.0
Puntadewa,DewaRuci,1.0
Yamawidura,NgembatLandeyan,1.0
Pancawala,Wisanggeni,2.0
Surya,Nakula,1.0
Antaboga,Kresna,5.0
Sadewa,Rukmara,1.0
Duryudana,Antasena,1.0
Dhadhungawuk,Setyaki,1.0
Surya,Werkudara,1.0
Surtikanthi,Kartapiyoga,2.0
Durna,Sengkuni,29.0
Badrahini,Basudewa,5.0
Gareng,Saragupita,2.0
Sengkalawati,Setyaki,1.0
Gatotkaca,Indra,4.0
Abiyasa,Kresna,3.0
Bagong,Barata,1.0
Sangkara,Panyarikan,1.0
Mandrakeswara,Bagaspati,1.0
Udawa,Banowati,2.0
Samba,Kartamarma,2.0
Wisanggeni,Kresna,8.0
Salya,Pandu,2.0
Karna,Garuda,2.0
Iswara,Yudhistira,1.0
Sangkara,Pracona,1.0
Kartapiyoga,Badrahini,1.0
Kartamarma,Durga,3.0
Dewasrani,Dersanala,2.0
Durna,Ranu,1.0
Sangkara,Sambuh,2.0
Ugrasena,Arjuna,1.0
Surtikanthi,Bratajaya,1.0
Semar,Abimanyu,25.0
Gorawangsa,Bagong,1.0
Arjuna,Abimanyu,17.0
Gatotkaca,Wenang,5.0
Wisanggeni,Kartamarma,2.0
Arjuna,Antasena,1.0
Karna,Druwasa,2.0
Soka,Arjuna,2.0
SuratiMantra,Gareng,1.0
Wisanggeni,Narada,6.0
Kumbakarna,Bantala,2.0
RaraIreng,Bagong,3.0
Narada,Godhayitma,1.0
Banowati,Pradapa,1.0
Abiyasa,Werkudara,8.0
Wibisana,Nakula,1.0
Padmanaba,Kresna,2.0
Gareng,Maheswara,1.0
Gareng,Nagaprasanta,1.0
Badrahini,Nagaprasanta,1.0
Gareng,Sadewa,11.0
Angganjali,Kresna,1.0
Guru,Rukmini,3.0
Setyaki,Abimanyu,4.0
Rukmini,Udawa,1.0
Werkudara,Pulunggana,1.0
Antareja,Abimanyu,11.0
Bagong,Nakula,11.0
Bratajaya,Arjuna,2.0
Bagong,Arimbi,3.0
Bagaspati,Salya,2.0
Semar,Setyaboma,2.0
Samba,WulanDrema,2.0
Sengkuni,Puntadewa,14.0
Abiyasa,Indra,2.0
Samba,WulanDremi,2.0
Banowati,Baladewa,3.0
Kurandhayaksa,Pragota,1.0
Karna,Ranu,1.0
Nagatatmala,Narada,1.0
Bisawarna,Petruk,1.0
Abiyasa,Anoman,2.0
RaraIreng,Kresna,5.0
GagakBaka,Anoman,1.0
Maerah,Petruk,2.0
Dewasrani,Bagus,2.0
Guru,Erawati,1.0
Bagong,Arjuna,19.0
Antareja,Anoman,5.0
Kresna,Rohini,2.0
Bhisma,Bendana,1.0
Kartamarma,Anoman,5.0
DewaRuci,Bayu,1.0
Arjuna,Sambuh,1.0
Surabramadiraja,Antareja,1.0
Arjuna,Ramayadi,1.0
Sadewa,Kalika,3.0
Ranu,Anoman,1.0
Yamadipati,Nakula,1.0
Bagong,Kartamarma,5.0
Bilung,Togog,4.0
Raksasa,Karna,1.0
Gareng,Kuntiboja,1.0
Petruk,Lion,2.0
Werkudara,Durga,6.0
Bagong,Yamadipati,1.0
Karna,Pujawati,1.0
LesmanaMandrakumara,Bilung,1.0
Bilung,Baladewa,1.0
Karna,Petruk,8.0
Baladewa,Setyaki,4.0
Bomanarakasura,Antaboga,3.0
Saragupita,Semar,2.0
Banowati,Indra,3.0
Nakula,Gendari,1.0
Sangkara,Angganjali,1.0
Bagong,Godhayitma,1.0
Antakawulan,Wenang,1.0
Guru,Kresna,17.0
Gareng,Ugrasena,3.0
Bismaka,Kunti,1.0
Werkudara,Satrugna,1.0
Nakula,Dhandhang,2.0
Indra,Lion,1.0
Banowati,TunggulWulung,1.0
Udawa,Indra,2.0
Asmarawati,Yudhistira,1.0
Wenang,Indra,1.0
Soka,Semar,2.0
Sadewa,Setyaki,3.0
Durna,Ratmuka,1.0
Bagong,KudaKalaKresna,1.0
Erawati,Baladewa,2.0
Ugrasena,Pujawati,1.0
Bagong,Drupadi,1.0
Guru,Arimbi,2.0
Puntadewa,Satrugna,1.0
Sugriwa,Petruk,1.0
Dhadhungawuk,Kresna,1.0
Sadewa,Satrugna,1.0
Panyarikan,Sadewa,2.0
Kurandhayaksa,Ugrasena,1.0
Wilawuk,Yudhistira,2.0
Suparta,Petruk,1.0
Abiyasa,Gareng,8.0
Abiyasa,Duryudana,5.0
Wisanggeni,Wisnu,1.0
Sengkuni,Basudewa,1.0
Arjuna,Satrugna,2.0
Bagong,Bismaka,4.0
Sadewa,Ratmuka,1.0
Gareng,Rukmara,1.0
Dewaki,Bratajaya,1.0
Duryudana,Yudhistira,1.0
Mangsahpati,Asmarawati,1.0
YudaKothi,Semar,1.0
Guru,Mahadewa,1.0
Karna,Madrim,1.0
Jembawati,Wisanggeni,2.0
Gareng,Bagong,37.0
Bismaka,Baladewa,2.0
Petruk,Satrugna,1.0
Guru,Antaboga,3.0
LesmanaMandrakumara,Petruk,2.0
LesmanaMurdaka,Anoman,3.0
Rukmini,Resi,1.0
Kanastren,LesmanaMurdaka,2.0
Surya,Yudhistira,1.0
Kamajaya,Resi,2.0
Garuda,Nakula,2.0
Panyarikan,Durga,1.0
Rukmara,Bismaka,1.0
Indra,Rohini,1.0
Arjuna,Pulunggana,1.0
Durna,Kumbakarna,1.0
Werkudara,KudaKalaKresna,1.0
Bagong,Ratmuka,1.0
Sangkara,Rudra,2.0
Wisnu,Sekipu,1.0
Rukmini,Wenang,1.0
WulanDremi,Setyaki,1.0
Pragota,Narada,1.0
Kurandhayaksa,Bratajaya,1.0
Parasara,Anoman,1.0
Udawa,Antareja,2.0
Wenang,Wisnu,2.0
Bismaka,Anoman,1.0
Bayu,Nakula,2.0
Kartamarma,Lion,1.0
SuratiMantra,Pandu,2.0
Semar,Yudhistira,2.0
Druwasa,Basudewa,2.0
Arimbi,Anoman,1.0
Arjuna,Togog,1.0
Bilung,Sri,2.0
Sengkalawati,Duryudana,1.0
Durna,Sadana,2.0
Sambuh,Rudra,2.0
Durna,Pulungsari,1.0
Durna,Parasara,1.0
Werkudara,LesmanaMurdaka,1.0
Gatotkaca,Nakula,16.0
Abiyasa,Mangsahpati,1.0
Guru,Setyaki,3.0
Baladewa,SitiSendari,2.0
Petruk,Kangsa,1.0
WulanDremi,Narada,2.0
Soka,Nakula,2.0
Arimbi,Wisnu,1.0
Indra,Bayu,2.0
Semar,Nagagini,1.0
Asmarawati,Drestarastra,1.0
Semar,Prasara,2.0
Kamajaya,Gatotkaca,1.0
Durga,Setyaboma,1.0
WulanDrema,Kartamarma,1.0
Gareng,Gendara,1.0
Semar,Kartamarma,7.0
Wisnu,Rudra,2.0
Gatotkaca,Rudra,1.0
Maruta,Narada,1.0
Salya,Basudewa,2.0
Dewaki,Badrahini,5.0
Dhandhonwacana,Suparta,2.0
Arjuna,Wenang,7.0
Dhandhonwacana,Arjuna,1.0
Antareja,Arjuna,7.0
Banowati,Satrugna,1.0
Dewasrani,Sadewa,2.0
Bagus,Wisanggeni,2.0
Samba,Duryudana,4.0
Dewaki,Petruk,2.0
Sangkara,Gareng,1.0
Banowati,Wenang,2.0
Maruta,Garuda,1.0
Wisnu,Nakula,1.0
Sadewa,Kunti,7.0
Yudhistira,Indra,1.0
Bagong,Salya,5.0
Mahadewa,Maheswara,2.0
Ugrasena,Bismaka,6.0
Angganjali,Baladewa,2.0
Sengkuni,Kanastren,3.0
Asmarawati,Gendari,1.0
Gareng,SitiSendari,1.0
Resi,Kresna,2.0
Garuda,RaraIreng,2.0
Citrarata,Tambrapeta,2.0
Sadewa,Gatotkaca,16.0
Bilung,Kresna,1.0
Nakula,Dersanala,1.0
Dewasrani,Werkudara,3.0
Guru,Gareng,8.0
Mangsahpati,Semar,2.0
Arjuna,Badrahini,1.0
LesmanaMandrakumara,Arjuna,3.0
Sengkuni,Sadana,2.0
Dewasrani,Kartamarma,1.0
Bratajaya,Basudewa,1.0
Petruk,Brahma,1.0
KencanaWulan,Arjuna,2.0
Petruk,Duryudana,11.0
Samba,Werkudara,8.0
Sadewa,Yamadipati,1.0
Puntadewa,Kamajaya,1.0
Sadewa,Dersanala,1.0
Gorawangsa,Semar,1.0
Antareja,Lion,1.0
Pragota,Erawati,1.0
Sugriwa,Rama,2.0
Maruta,Hagni,3.0
Sugriwa,Duryudana,1.0
KencanaWulan,Dhamdharat,2.0
Samba,Durna,4.0
Karna,Citrasena,2.0
Karna,Salya,1.0
Petruk,Pandu,4.0
Puntadewa,Ranu,1.0
Kartapiyoga,Erawati,2.0
Wisanggeni,Dersanala,3.0
Gareng,Rukmini,3.0
Sadewa,Bismaka,2.0
Druwasa,Petruk,1.0
WulanDrema,Nakula,1.0
Garuda,Dhandhang,1.0
Antareja,Godhayitma,1.0
Arimbi,Wenang,2.0
Panyarikan,Arimbi,1.0
TunggulWulung,Nagagini,1.0
Wenang,Abimanyu,1.0
Bomanarakasura,Narada,1.0
Indra,Resi,1.0
Dhandhonwacana,Asmarawati,1.0
Sangkara,Baladewa,1.0
Sri,Kresna,3.0
GagakBaka,Duryudana,1.0
Pulunggana,Kresna,1.0
Abiyasa,Basudewa,1.0
Arjuna,Lion,1.0
YudaKalaKresna,Petruk,1.0
Angganjali,Gatotkaca,2.0
Arimbi,Baladewa,3.0
SuksmaLanggeng,Duryudana,2.0
Guru,Padmanaba,1.0
Wisanggeni,Puntadewa,4.0
Kunti,Arjuna,6.0
Durna,Surabramadiraja,1.0
Petruk,Nakula,13.0
Wisanggeni,Nakula,4.0
Sambuh,Nakula,1.0
Dhadhungawuk,Abimanyu,1.0
Petruk,Rama,1.0
