label,degree,weighted degree,closnesscentrality,clustering
Pujawati,23,29.0,0.5331412103746398,1.0
Kalantaka,25,48.0,0.5362318840579711,1.0
Godhayitma,39,60.0,0.5589123867069486,0.8771929824561403
Wibisana,25,36.0,0.5362318840579711,1.0
Bratajaya,24,27.0,0.5346820809248555,1.0
Tiger,22,29.0,0.5316091954022989,1.0
Mangsahpati,32,51.0,0.5473372781065089,0.8508064516129032
Pulungsari,30,43.0,0.5441176470588235,1.0
Prasara,30,37.0,0.5441176470588235,1.0
RaraTemon,34,68.0,0.5505952380952381,0.9019607843137255
Guard,27,32.0,0.5393586005830904,1.0
Godakesa,27,43.0,0.5393586005830904,1.0
Kartapiyoga,24,30.0,0.5346820809248555,1.0
GagakBaka,21,24.0,0.5300859598853869,1.0
Kangsa,20,26.0,0.5285714285714286,1.0
Raksasa2,19,23.0,0.5270655270655271,1.0
Ranu,25,36.0,0.5362318840579711,1.0
Rudra,31,39.0,0.5457227138643068,1.0
JakaPupon,27,41.0,0.5393586005830904,1.0
FakeWerkudara,27,38.0,0.5393586005830904,1.0
Yamawidura,23,26.0,0.5331412103746398,1.0
Pulunggana,30,43.0,0.5441176470588235,1.0
Brajamusthi,18,26.0,0.5255681818181818,1.0
WulanDrema,24,37.0,0.5346820809248555,1.0
WulanDremi,24,35.0,0.5346820809248555,1.0
Bagus,27,44.0,0.5393586005830904,1.0
Nagasewu,27,40.0,0.5393586005830904,1.0
Bilung,35,55.0,0.5522388059701493,0.8789915966386554
Garuda,36,56.0,0.5538922155688623,0.819047619047619
Tambrapeta,25,40.0,0.5362318840579711,1.0
SuksmaLanggeng,17,29.0,0.5240793201133145,1.0
Bimasakti,21,41.0,0.5300859598853869,1.0
Nagabanda,27,43.0,0.5393586005830904,1.0
Kamajaya,27,44.0,0.5393586005830904,1.0
Lion,30,37.0,0.5441176470588235,1.0
Pragota,24,25.0,0.5346820809248555,1.0
YudaKalaKresna,25,30.0,0.5362318840579711,1.0
Dhandhonwacana,24,26.0,0.5346820809248555,1.0
KudaKalaKresna,25,34.0,0.5362318840579711,1.0
Suparta,24,26.0,0.5346820809248555,1.0
Sangkara,31,39.0,0.5457227138643068,1.0
Surya,31,34.0,0.5457227138643068,1.0
Antakawulan,28,37.0,0.5409356725146199,1.0
Surabramadiraja,21,32.0,0.5300859598853869,1.0
Angganjali,31,39.0,0.5457227138643068,1.0
Dersanala,27,47.0,0.5393586005830904,1.0
Ramayadi,31,39.0,0.5457227138643068,1.0
Sadana,38,77.0,0.5572289156626506,0.8890469416785206
Gorawangsa,20,28.0,0.5285714285714286,1.0
Rohini,20,27.0,0.5285714285714286,1.0
Nagatatmala,27,34.0,0.5393586005830904,1.0
Druwasa,23,27.0,0.5331412103746398,1.0
Boar,17,22.0,0.5240793201133145,1.0
Dhadhungawuk,18,21.0,0.5255681818181818,1.0
Satrugna,28,31.0,0.5409356725146199,1.0
