Source,Target,Type,Weight
YudaKothi,Ugrasena,Undirected,1
Iswara,Ramayadi,Undirected,1
Samba,Bagus,Undirected,1
Gareng,Sengkuni,Undirected,12
Nagasewu,Nagatatmala,Undirected,2
Durga,Kresna,Undirected,5
Ranu,Kresna,Undirected,1
Drupadi,Godakesa,Undirected,1
Setyaki,Wisnu,Undirected,1
Bagus,Nakula,Undirected,1
Amonggati,Anoman,Undirected,2
Guru,Tambrapeta,Undirected,2
Kresna,Brahma,Undirected,2
LesmanaMurdaka,Baladewa,Undirected,2
Abiyasa,Destarastra,Undirected,2
Angganjali,Arjuna,Undirected,1
Gorawangsa,Kresna,Undirected,1
Sri,Duryudana,Undirected,1
Sangkara,Sekipu,Undirected,1
Baladewa,Anoman,Undirected,8
Wisnu,Maheswara,Undirected,2
Ramayadi,Rudra,Undirected,1
Udawa,Kartamarma,Undirected,1
Karna,Nindyamaya,Undirected,1
Semar,Citrasena,Undirected,2
Surya,Sambuh,Undirected,1
Nakula,Yudhistira,Undirected,4
Banowati,Brajamusthi,Undirected,1
Prasara,Abimanyu,Undirected,2
Nagagini,BayuBajra,Undirected,2
Karna,Antareja,Undirected,3
Baladewa,Antareja,Undirected,6
Dewaki,JayaBajra,Undirected,1
Sri,Baladewa,Undirected,2
Kalika,Tambrapeta,Undirected,1
Arimbi,Gendari,Undirected,1
Suparta,Duryudana,Undirected,1
Durna,Pulunggana,Undirected,1
Surya,Kresna,Undirected,1
Karna,Angganjali,Undirected,1
Setyaboma,Indra,Undirected,1
Gatotkaca,Ramayadi,Undirected,2
Surtikanthi,Basudewa,Undirected,1
Werkudara,JakaPupon,Undirected,1
Pandu,Gendara,Undirected,2
Banowati,Pulunggana,Undirected,1
Rukmara,Narada,Undirected,1
Werkudara,Puntadewa,Undirected,35
Bismaka,Werkudara,Undirected,2
Durna,Rukmini,Undirected,2
Gareng,Rohini,Undirected,1
Sadewa,Bantala,Undirected,1
Kurandhayaksa,Dewaki,Undirected,1
Karna,Ramaparasu,Undirected,1
Samba,Wisnu,Undirected,1
Guard,Werkudara,Undirected,1
Durna,Yudhistira,Undirected,1
Mahadewa,Arjuna,Undirected,1
Gareng,Bagaspati,Undirected,1
Iswara,Sekipu,Undirected,1
Duryudana,Wilawuk,Undirected,1
Duryudana,Ranu,Undirected,1
Bagong,Destarastra,Undirected,1
Petruk,Togog,Undirected,4
Guru,Dersanala,Undirected,3
Druwasa,Salya,Undirected,1
Kunti,Nakula,Undirected,6
Karna,Togog,Undirected,3
Bisawarna,Kesawasidhi,Undirected,1
Karna,Wisanggeni,Undirected,3
Guru,Rudra,Undirected,1
Kalantaka,Wisanggeni,Undirected,2
Gareng,Sekipu,Undirected,1
Antareja,Drupadi,Undirected,1
Gareng,TunggulWulung,Undirected,1
Bilung,Abimanyu,Undirected,2
Rukmini,Panyarikan,Undirected,1
Arimbi,Wilawuk,Undirected,3
Sengkuni,Nindyamaya,Undirected,1
Angganjali,Semar,Undirected,1
Pulungsari,Petruk,Undirected,1
Puntadewa,Bhisma,Undirected,1
Barata,Kartamarma,Undirected,1
Gareng,Kartamarma,Undirected,5
Semar,Pracona,Undirected,1
Gendara,NgembatLandeyan,Undirected,1
Samba,Nakula,Undirected,4
Arjuna,Citrasena,Undirected,2
Durna,Suparta,Undirected,1
Bagong,Pujawati,Undirected,2
Nakula,Brahma,Undirected,2
Sengkuni,Kresna,Undirected,16
Maerah,Kangsa,Undirected,2
Nagatatmala,Duryudana,Undirected,2
Bendana,Yudhistira,Undirected,3
Wibisana,Kresna,Undirected,1
Sengkuni,Woman,Undirected,1
Rukmini,Godhayitma,Undirected,1
Amonggati,Werkudara,Undirected,2
Semar,Resi,Undirected,1
FakeWerkudara,Baladewa,Undirected,1
Kartamarma,Kresna,Undirected,10
Bagong,Petruk,Undirected,36
Drupadi,Kresna,Undirected,1
Garuda,Narada,Undirected,3
Wisanggeni,Duryudana,Undirected,2
Wisnu,Yudhistira,Undirected,1
Werkudara,Brahala,Undirected,4
Wisnu,Pracona,Undirected,1
Rukmini,Durga,Undirected,1
Puntadewa,Dersanala,Undirected,1
Samba,Karna,Undirected,2
Sugriwa,Arjuna,Undirected,1
Mandrakeswara,Basudewa,Undirected,1
Kunti,Gendari,Undirected,3
Bendana,Kartamarma,Undirected,1
Bismaka,KudaKalaKresna,Undirected,1
Semar,Nagatatmala,Undirected,1
Karna,Lion,Undirected,1
Iswara,Semar,Undirected,1
Durna,Durga,Undirected,3
Semar,Sambuh,Undirected,1
Bismaka,Badrahini,Undirected,2
Rarawangen,Wenang,Undirected,1
Guru,Sri,Undirected,2
Dewasrani,Duryudana,Undirected,1
Nakula,Arimbi,Undirected,4
YudaKothi,Erawati,Undirected,1
Sengkuni,Setyaki,Undirected,3
Salya,Nagaprasanta,Undirected,1
Raksasa,Sengkuni,Undirected,1
Guru,Kalantaka,Undirected,2
Indra,Brahala,Undirected,1
Sadewa,Dhamdharat,Undirected,2
Ugrasena,Pragota,Undirected,1
Sadana,Anoman,Undirected,2
Semar,Sinduragen,Undirected,2
Amonggati,Boar,Undirected,1
Gareng,Dhamdharat,Undirected,1
RaraTemon,Sadewa,Undirected,1
SuratiMantra,Badrahini,Undirected,1
Pandu,Indra,Undirected,1
Nakula,Raksasa1,Undirected,1
Sengkuni,Abiyasa,Undirected,4
Kartamarma,Brajamusthi,Undirected,1
Guru,Sengkuni,Undirected,4
Durna,Nagabanda,Undirected,2
Kurandhayaksa,Surtikanthi,Undirected,2
Woman,Bendana,Undirected,1
Antakawulan,Puntadewa,Undirected,1
Abiyasa,Asmarawati,Undirected,1
Pragota,Petruk,Undirected,1
Samba,Abimanyu,Undirected,7
Kanastren,Godakesa,Undirected,2
Antakawulan,Werkudara,Undirected,1
Madrim,Yamawidura,Undirected,1
Bagong,Rohini,Undirected,1
Pradapa,Arjuna,Undirected,2
Dewasrani,Semar,Undirected,2
Sengkuni,Wisanggeni,Undirected,2
Semar,NagaSewu,Undirected,1
