Source,Target,Type,Weight
Bagong,Durga,Undirected,4
Banowati,Asmarawati,Undirected,1
Sekipu,Rudra,Undirected,1
Pancawala,Soka,Undirected,1
Bayu,Yudhistira,Undirected,1
Setyaki,Durga,Undirected,1
Werkudara,Bantala,Undirected,1
Anoman,Abimanyu,Undirected,8
Bilung,Arjuna,Undirected,1
Sengkuni,Antaboga,Undirected,2
Garuda,Petruk,Undirected,1
Arjuna,Narada,Undirected,8
Gareng,Iswara,Undirected,1
Banowati,Narada,Undirected,4
Karna,Pulunggana,Undirected,1
Gatotkaca,Yudhistira,Undirected,1
Saragupita,Bismaka,Undirected,2
Anoman,Antasena,Undirected,1
Semar,Tambrapeta,Undirected,1
Bagong,Antaboga,Undirected,2
Hagni,Gatotkaca,Undirected,1
Ugrasena,Kangsa,Undirected,1
Durna,LesmanaMurdaka,Undirected,1
Durna,FakeWerkudara,Undirected,1
NemburNawa,Arjuna,Undirected,1
Baladewa,Werkudara,Undirected,7
Gatotkaca,SitiSendari,Undirected,1
Destarastra,Madrim,Undirected,1
Nakula,Rudra,Undirected,1
Ramayadi,Rudra,Undirected,1
Abiyasa,Banowati,Undirected,3
Narada,Basudewa,Undirected,1
Bagong,Prasara,Undirected,1
Bismaka,Pandu,Undirected,2
Tambrapeta,Kresna,Undirected,1
Kamajaya,Narada,Undirected,1
Bilung,Gatotkaca,Undirected,2
Banowati,Werkudara,Undirected,12
Kartamarma,Ranu,Undirected,1
Baladewa,Nagaprasanta,Undirected,1
Semar,Nakula,Undirected,13
Guru,Abiyasa,Undirected,2
Wisanggeni,Lion,Undirected,1
Bagaspati,Destarastra,Undirected,1
Pragota,Baladewa,Undirected,1
Semar,Kunti,Undirected,3
Wibisana,Kumbakarna,Undirected,1
YudaKalaKresna,Rukmini,Undirected,1
Karna,Sengkalawati,Undirected,1
Asmarawati,Nakula,Undirected,2
Jembawati,Indra,Undirected,1
Karna,Sri,Undirected,1
Gareng,Bayu,Undirected,1
Bratajaya,Baladewa,Undirected,1
Dhandhonwacana,Wilawuk,Undirected,1
Pulunggana,Nakula,Undirected,1
Durna,Antaboga,Undirected,2
Rukmini,Wisnu,Undirected,1
Guru,Panyarikan,Undirected,2
Ugrasena,Petruk,Undirected,3
FakeWerkudara,Werkudara,Undirected,1
Bhisma,Nakula,Undirected,1
Dewasrani,Bagong,Undirected,2
Sekipu,Kresna,Undirected,1
Duryudana,Antareja,Undirected,4
DewaRuci,Kresna,Undirected,1
Banowati,Hagni,Undirected,1
Bomanarakasura,Puntadewa,Undirected,1
Semar,Duryudana,Undirected,13
Setyaboma,Brahma,Undirected,1
Maruta,Arjuna,Undirected,1
Brajadhenta,Brajamusthi,Undirected,1
Bagong,Nagaprasanta,Undirected,1
Mahadewa,Brahma,Undirected,1
Sangkara,Maheswara,Undirected,1
Pandu,JayaBajra,Undirected,1
Guru,Kanastren,Undirected,1
Rukmini,Werkudara,Undirected,3
Bisawarna,Gareng,Undirected,1
NemburNawa,Sadewa,Undirected,1
Guru,Resi,Undirected,1
Kuntiboja,Madrim,Undirected,1
Sangkara,Narada,Undirected,1
Drupadi,Sri,Undirected,1
Semar,Kuntiboja,Undirected,1
Dhandhonwacana,Bhisma,Undirected,1
YudaKothi,Pragota,Undirected,1
Durna,Mangsahpati,Undirected,2
Ugrasena,Bratajaya,Undirected,1
Abiyasa,Semar,Undirected,5
Gatotkaca,Narada,Undirected,7
Nakula,Narada,Undirected,7
Kanastren,Antaboga,Undirected,1
Saragupita,Arjuna,Undirected,1
Bisawarna,Duryudana,Undirected,2
Bagong,Erawati,Undirected,1
Sengkalawati,Arjuna,Undirected,1
Guru,Werkudara,Undirected,9
Karna,Yudhistira,Undirected,1
Surtikanthi,Bismaka,Undirected,1
Maheswara,Indra,Undirected,1
Durna,TunggulWulung,Undirected,1
Guru,Sengkalawati,Undirected,1
Rukmini,Abiyasa,Undirected,1
Surya,Pracona,Undirected,1
Guru,Wisanggeni,Undirected,4
Antakawulan,Bagong,Undirected,1
Guru,Setyaboma,Undirected,2
YudaKothi,Kartapiyoga,Undirected,1
Gareng,Surabramadiraja,Undirected,1
Gareng,Padmanaba,Undirected,1
Bratajaya,Indra,Undirected,1
Samba,Bagong,Undirected,5
Semar,Antasena,Undirected,1
Bendana,Nakula,Undirected,3
Kangsa,Kresna,Undirected,1
Banowati,Abimanyu,Undirected,7
Bilung,Mangsahpati,Undirected,1
Citrarata,Kartamarma,Undirected,1
Guru,Pulunggana,Undirected,1
Angganjali,Durga,Undirected,1
Wisnu,Sambuh,Undirected,1
Karna,Panyarikan,Undirected,1
SitiSendari,Semar,Undirected,1
Asmarawati,Kartamarma,Undirected,1
Semar,Puntadewa,Undirected,13
Guru,Sekipu,Undirected,1
Antaboga,Narada,Undirected,2
Arjuna,Dersanala,Undirected,1
Bagus,Dersanala,Undirected,1
Gareng,Yamadipati,Undirected,1
Bomanarakasura,Anoman,Undirected,2
SuratiMantra,Saragupita,Undirected,1
Udawa,Panyarikan,Undirected,1
Puntadewa,Resi,Undirected,1
Semar,Kanastren,Undirected,2
Druwasa,Gendara,Undirected,1
Jembawati,Nakula,Undirected,1
Sengkuni,Arjuna,Undirected,14
Mangsahpati,Sadewa,Undirected,1
NemburNawa,Werkudara,Undirected,1
Werkudara,Sambuh,Undirected,1
Werkudara,Godhayitma,Undirected,2
Antakawulan,Durna,Undirected,1
Gareng,Garuda,Undirected,1
Arjuna,WulanDremi,Undirected,1
Gatotkaca,Kartamarma,Undirected,5
Mangsahpati,Duryudana,Undirected,2
Bilung,Antareja,Undirected,1
Arjuna,WulanDrema,Undirected,1
Indra,Rudra,Undirected,1
Guru,Wisnu,Undirected,2
Durna,KudaKalaKresna,Undirected,1
Pancawala,Werkudara,Undirected,1
Petruk,Wenang,Undirected,3
SitiSendari,Anoman,Undirected,1
