Forest:Wanamarta
Alun-Alun:Astina
Sabrangan:TlukiSeta
Pertapaan:Untara
Forest:Madeki
Seaside:Unnamed
Forest:KakiGunungKutharunggu
Court:Widarakandhang
Pertapaan:SonyaPringga
Pertapaan:SendhangCintaka
Kayangan:Saptapratala
Unnamed:Unnamed
Court:Ayodya
Kedaton:Kumbina
Pertapaan:Candramanik
Alun-alun:Repatkepanasan
Sabrangan:Guwagro
Kedaton:Astina
Court:Amarta
Mountain:JamurDwipa
MeditationChamber:Amarta
Alun-alun:Mandura
Pertapaan:SaptaArga
Alun-alun:Repatkepanesan
Sabrangan:Simbarmanyura
Sky:Unnamed
Sabrangan:TirtaKadhasar
Court:Jodipati 
Ocean:Unnamed
Alun-alun:Dwarawati
Court:Astina
Sabrangan:GlagahTinunu
Court:Pringgandani
Partapaan:Sokalima
Village:Karangkadempel
Court:Mandura
Pacrabakan:Kutharunggu
Sabrangan:Trajutrisna
Forest:Krendhawahana
Alun-alun:Singgelapura
Court:Dwarawati
Kayangan:Alang-alangKumitir
Forest:Unnamed
Court:Pancawati
Pertapaan:PadhepokanBekasBeghawanRamaparasu
Kayangan:JonggringSaloka
Pertapaan:Unnamed
Alun-alun:Astina
Road:Unnamed
Sabrangan:NagariGuwaSari
Sabrangan:Tawanggantungan
Kedaton:Dwarawati
Court:Kumbina
Kayangan:Awang-awangKumitir
Forest:Tunggul
Pertapaan:Sokalima
Alun-alun:Amarta
Court:Randhungumbala
Mountain:Reksamuka
Pertapaan:Argabelah
Kayangan:DhandhangMangore
Kedaton:Amarta
Kedaton:Mandura
Village:Parangteja
Forest:Tikbrasara 
Court:Mandaraka
Forest:Dhandaka
Kedaton:KarangKawidadaren
Kayangan:Swargadahana
Pertapaan:PrangAlas
