Source,Target,Type,Weight
Bomanarakasura,Godhayitma,Undirected,5
Durna,_Raksasa,Undirected,1
WadyaDhandangMangore,Duryudana,Undirected,1
Bendana,Narada,Undirected,3
Korawa,Godakesa,Undirected,1
WadyaMandura,Surati_Mantra,Undirected,1
WadyaDhandangMangore,Puntadewa,Undirected,1
Kunti,Kuntiboja,Undirected,2
WadyaGuwagra,Saragupita,Undirected,1
Bagong,Mangsahpati,Undirected,2
Durna,Nagatatmala,Undirected,1
Rukmini,Nakula,Undirected,2
Sengkuni,Antareja,Undirected,5
WadyaGuwaSiluman,Sadewa,Undirected,1
RaraTemon,Kresna,Undirected,5
Dewasrani,Antareja,Undirected,1
Korwa,Kanastren,Undirected,1
Kartapiyoga,Bismaka,Undirected,1
Kalantaka,Durga,Undirected,1
Bilung,WadyaAstina,Undirected,1
WadyaSetanBekasakan,Asmarawati,Undirected,2
Dewasrani,Sengkuni,Undirected,1
Pujawati,Gendari,Undirected,1
Bagong,Banowati,Undirected,6
Wenang,Nindyamaya,Undirected,1
Sengkalawati,Kartamarma,Undirected,1
Surya,Durandara,Undirected,1
Bagus,Kresna,Undirected,2
Durna,WadyaDwarawti,Undirected,1
Kresna,Nembur_Nawa,Undirected,1
Arjuna,Ranu,Undirected,2
Dewasrani,Bendana,Undirected,1
Wisnu,Banowati,Undirected,1
Amonggati,Arjuna,Undirected,2
WadyaGuwagro,Basudewa,Undirected,1
Gareng,Godhayitma,Undirected,1
Korawa,Durna,Undirected,27
Gatotkaca,Setyaki,Undirected,7
Setyaki,Ramaparasu,Undirected,1
Puntadewa,KadangBayu,Undirected,1
Gareng,Kangsa,Undirected,1
Sintawaka,Duryudana,Undirected,1
Setyaboma,Resi,Undirected,1
WadyaSetanBekasakan,WadyaGuwaSari,Undirected,1
Garuda,WadyaGuwaSari,Undirected,1
Sengkuni,SaudaraBayu,Undirected,1
Arjuna,Padmanaba,Undirected,1
WadyaDhandangMangore,Nakula,Undirected,1
Bomanarakasura,Gareng,Undirected,1
Antaboga,JakaPupon,Undirected,1
Wisanggeni,Kresna,Undirected,8
AmartaBrothers,Bendana,Undirected,2
Kunti,Yamawidura,Undirected,1
Anoman,WadyaBalaDhandhangMangore,Undirected,2
WadyaRotaDenawaDwarawati,Abiyasa,Undirected,2
Parasara,Petruk,Undirected,2
Pulungsari,Pulunggana,Undirected,4
Kanastren,Indra,Undirected,1
Kunti,Kartamarma,Undirected,2
Ranu,Bantala,Undirected,3
Guru,TumenggungAstina,Undirected,1
Bagaspati,RatuSewuNagari,Undirected,1
Mandrakeswara,Abiyasa,Undirected,1
Durna,Korwa,Undirected,2
Jembawati,Bagus,Undirected,1
Baladewa,WadyaTawanggantungan,Undirected,1
Arjuna,Wulan_Dremi,Undirected,2
Sengkuni,Kumbakarna,Undirected,1
Korwa,Sadana,Undirected,1
TunggulWulung,WadyaBalaDhandhangMangore,Undirected,1
Bagong,Durga,Undirected,4
Karna,_Raksasa2,Undirected,1
Nagasewu,Kresna,Undirected,1
Pancawala,Soka,Undirected,1
Karna,Kesawasidhi,Undirected,2
_Raksasa1,Kresna,Undirected,1
Bayu,Yudhistira,Undirected,1
Setyaki,Durga,Undirected,1
WadyaGuwagro,Petruk,Undirected,1
WadyaMandura,Dewaki,Undirected,1
Sintawaka,Werkudara,Undirected,2
Anoman,Abimanyu,Undirected,10
Bilung,Arjuna,Undirected,1
Lesmana_Murdaka,Barata,Undirected,4
Sengkuni,Antaboga,Undirected,2
Garuda,Petruk,Undirected,1
Arjuna,Narada,Undirected,18
Banowati,Narada,Undirected,5
Yuda_Kala_Kresna,Brahala,Undirected,1
Sengkuni,Gendari,Undirected,3
Sintawaka,Ranu,Undirected,1
Parasara,Wisanggeni,Undirected,1
Kunti,Asmarawati,Undirected,1
Surya,Angganjali,Undirected,1
Saragupita,Bismaka,Undirected,4
Abiyasa,Yuda_Kala_Kresna,Undirected,1
_Raksasa2,Nakula,Undirected,1
Gareng,Nagasewu,Undirected,1
Anoman,Antasena,Undirected,2
Semar,Tambrapeta,Undirected,2
Bagong,Antaboga,Undirected,2
Hagni,Gatotkaca,Undirected,1
Ugrasena,Kangsa,Undirected,1
Setyaki,RaraTemon,Undirected,1
Panyarikan,WadyaRotaDenawaDwarawati,Undirected,1
Panyarikan,Ramayadi,Undirected,1
Baladewa,Werkudara,Undirected,12
Bimasakti,Arjuna,Undirected,2
Kangsa,Rohini,Undirected,1
Wulan_Dremi,Narada,Undirected,2
_Raksasa2,Arjuna,Undirected,1
_Raksasa2,Kartamarma,Undirected,1
WadyaRotaDenawaDwarawati,Anoman,Undirected,2
Semar,Pulungsari,Undirected,2
Narada,Basudewa,Undirected,2
Kalanjaya,Citrasena,Undirected,2
Duryudana,Brahala,Undirected,3
Bismaka,Pandu,Undirected,4
Setyaki,Siti_Sendari,Undirected,1
Tambrapeta,Kresna,Undirected,2
Kamajaya,Narada,Undirected,3
Bagong,WadyaGuwagra,Undirected,2
Bilung,Gatotkaca,Undirected,3
Banowati,Werkudara,Undirected,12
Kartamarma,Ranu,Undirected,1
Baladewa,Nagaprasanta,Undirected,1
Angganjali,Indra,Undirected,1
Semar,Nakula,Undirected,16
Sadewa,WadyaTawanggantungan,Undirected,1
Bagaspati,Destarastra,Undirected,1
