characters,names
6,Sengkuni&Kartamarma&Durna&Karna&Duryudana&Werkudara
2,Banowati&Duryudana
1,Sengkuni
5,Bayu&_Raksasa1&Werkudara&_Raksasa2&Indra
2,Durna&Werkudara
4,Arjuna&Abiyasa&Durna&Werkudara
7,Nakula&Arjuna&Puntadewa&Kunti&Kresna&Sadewa&Werkudara
2,Arjuna&Durna
3,Nembur_Nawa&Werkudara&Dewa_Ruci
4,Arjuna&Durna&Werkudara&Kresna
