characters,names
6,Sengkuni&Kartamarma&Durna&Karna&Lesmana_Mandrakumara&Duryudana
2,Banowati&Duryudana
4,Sengkuni&Durna&Karna&Lesmana_Mandrakumara
4,Setyaki&Anoman&Samba&Kresna
5,Setyaki&Anoman&Samba&Durna&Udawa
2,Semar&Abimanyu
5,Wulan_Dremi&Narada&Indra&Wulan_Drema&Guru
8,Nakula&Sadewa&Puntadewa&Samba&Kresna&Arjuna&Abimanyu&Werkudara
4,Pulungsari&Sengkalawati&Wulan_Drema&Lesmana_Mandrakumara
3,Pulungsari&Sengkalawati&Samba
8,Samba&Wulan_Drema&Semar&Kresna&Arjuna&Abimanyu&Werkudara&Wulan_Dremi
