characters,names
5,Sengkuni&Durna&Duryudana&Werkudara&Baladewa
1,Duryudana
2,Sengkuni&Baladewa
7,Gatotkaca&Antareja&Baladewa&Anoman&Bimasakti&Werkudara&Antasena
2,Surabramadiraja&Arimbi
5,Gatotkaca&Semar&Gareng&Bagong&Petruk
4,Surabramadiraja&Gagak_Baka&Werkudara&Arimbi
9,Nakula&Gatotkaca&Sengkuni&Sadewa&Puntadewa&Bimasakti&Kresna&Arjuna&Werkudara
9,Gatotkaca&Surabramadiraja&Puntadewa&Wenang&Arimbi&Bimasakti&Kresna&Werkudara&Antasena
