characters,names
5,Setyaki&Baladewa&Samba&Kresna&Petruk
3,Siti_Sendari&RaraTemon&Kresna
5,Gareng&Petruk&Anoman&Baladewa&Bagong
2,Baladewa&Duryudana
5,Gatotkaca&Petruk&Arjuna&Werkudara&Semar
2,Bisawarna&Werkudara
4,Gatotkaca&Anoman&Arjuna&Dhadhungawuk
2,Sengkuni&Baladewa
4,Gatotkaca&Semar&Arjuna&Werkudara
9,Gatotkaca&Semar&Baladewa&RaraTemon&Kresna&Siti_Sendari&Arjuna&Abimanyu&Werkudara
