characters,names
7,Nakula&Puntadewa&Petruk&Durna&Kresna&Sadewa&Werkudara
2,Puntadewa&Drupadi
8,Sengkuni&Gareng&Petruk&Durna&Bagong&Anoman&Kresna&Werkudara
7,Gatotkaca&Gareng&Petruk&Bagong&Antareja&Semar&Abimanyu
4,Gatotkaca&Kanastren&Abimanyu&Sinduragen
8,Gatotkaca&Godakesa&_Guard&Yamadipati&Kanastren&Sinduragen&Arjuna&Abimanyu
4,Narada&Indra&Kresna&Guru
2,Antareja&Antaboga
12,Narada&Sadana&Guru&Puntadewa&Semar&Sri&Kanastren&Godakesa&Sinduragen&Antareja&Arjuna&Abimanyu
3,Sri&Sadana&Werkudara
