characters,names
4,Ugrasena&Bismaka&Kuntiboja&Basudewa
5,Druwasa&Kunti&Kuntiboja&Basudewa&Karna
0,
2,Ugrasena&Ngembat_Landeyan
7,Madrim&Gareng&Semar&Bagong&Petruk&Salya&Mandrakeswara
2,Bagaspati&Pujawati
4,Semar&Salya&Bagong&Petruk
4,Pandu&Abiyasa&Yamawidura&Destarastra
2,Kunti&Salya
8,Madrim&Semar&Gareng&Pandu&Kunti&Bagong&Petruk&Salya
4,Pandu&Sengkuni&Gendari&Gendara
5,Madrim&Pandu&Kunti&Gendari&Destarastra
