characters,names
6,Sengkuni&Puntadewa&Kartamarma&Durna&Duryudana&Dhamdharat
2,Banowati&Duryudana
4,Asmarawati&Arjuna&Ratmuka&Dhamdharat
3,Dhandhang&Kencana_Wulan&Dhamdharat
9,Gareng&Semar&Bagong&Dhandhang&Brahala&Kresna&Petruk&Rara_Ireng&Arjuna
6,Dhandhang&Ratmuka&Kresna&Kencana_Wulan&Asmarawati&Arjuna
8,Nakula&Arjuna&Puntadewa&Narada&Kresna&Sadewa&Werkudara&Dhamdharat
5,Puntadewa&Garuda&Narada&Duryudana&Dhamdharat
9,Nakula&Sadewa&Puntadewa&Dhandhang&Mangsahpati&Kresna&Arjuna&Werkudara&Dhamdharat
